,FileName,Nose_x,Nose_y,LeftEye_x,LeftEye_y,RightEye_x,RightEye_y,LeftEar_x,LeftEar_y,RightEar_x,RightEar_y,LeftShoulder_x,LeftShoulder_y,RightShoulder_x,RightShoulder_y,LeftElbow_x,LeftElbow_y,RightElbow_x,RightElbow_y,LeftWrist_x,LeftWrist_y,RightWrist_x,RightWrist_y,LeftHip_x,LeftHip_y,RightHip_x,RightHip_y,LeftKnee_x,LeftKnee_y,RightKnee_x,RightKnee_y,LeftAnkle_x,LeftAnkle_y,RightAnkle_x,RightAnkle_y,target
0,DATASET/TRAIN/goddess/00000112.jpg,0.49194708,0.21141869,0.51557004,0.19576886,0.46906146,0.19420372,0.54693013,0.23370494,0.43564025,0.23146023,0.5998885,0.3300506,0.38982987,0.31804523,0.69953537,0.3648069,0.2765738,0.336248,0.76593953,0.22230579,0.2163521,0.20355773,0.5535807,0.5672238,0.39428943,0.56430256,0.6779269,0.63809127,0.34011412,0.63529295,0.7284576,0.84282345,0.2536721,0.8502069,goddess
1,DATASET/TRAIN/goddess/00000190.jpg,0.524596,0.55927855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63950825,0.37653863,0.4335946,0.35785672,0.6719267,0.56186396,0.39341137,0.518254,0.62293345,0.7645859,0.41127345,0.75718707,0.60600966,0.27751628,0.4497037,0.26583946,0.62931067,0.520242,0.33411536,0.5140501,0.69594616,0.79306805,0.33336687,0.81723404,goddess
2,DATASET/TRAIN/goddess/00000348.jpg,0.50775397,0.22358227,0.5253673,0.20422664,0.4870039,0.20166612,0.54603356,0.21612112,0.45323262,0.21193066,0.58588994,0.3055932,0.41289243,0.34132805,0.7202843,0.30209666,0.3934769,0.45915255,0.78495044,0.21488003,0.40200216,0.5443633,0.5589333,0.5853008,0.44548312,0.60183346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,goddess
3,DATASET/TRAIN/goddess/00000115.jpg,0.46281493,0.31650963,0.47696823,0.3006866,0.44612482,0.301465,0.4974401,0.31814444,0.41948804,0.3212771,0.5557524,0.38642147,0.3930164,0.3899681,0.68599474,0.38422155,0.26475608,0.39525503,0.74775255,0.3552676,0.13232557,0.38976344,0.5445481,0.6084627,0.40857694,0.6073252,0.65470743,0.65251255,0.28201774,0.64689434,0.7680205,0.851885,0.18323387,0.84833527,goddess
4,DATASET/TRAIN/goddess/00000358.jpg,0.5047902,0.37082112,0.5146517,0.35750058,0.4943874,0.3584653,0.5311833,0.36962768,0.47984448,0.3722561,0.5609375,0.4355546,0.45983,0.43390167,0.6127275,0.45256484,0.40032852,0.44490886,0.6635902,0.3845026,0.33269078,0.3904005,0.5460143,0.6199717,0.4668623,0.6197156,0.6131959,0.70548356,0.42561382,0.7065171,0.64014137,0.8526675,0.37767354,0.862327,goddess
5,DATASET/TRAIN/goddess/00000401.jpg,0.45892248,0.36576742,0.47013596,0.35683492,0.4439757,0.35702544,0.49301857,0.3663254,0.42519084,0.36829412,0.5509098,0.4152349,0.393011,0.42246187,0.63069975,0.42843089,0.30647272,0.44694823,0.69534737,0.40691936,0.23190221,0.42763895,0.5301192,0.5514518,0.4095614,0.55426466,0.6361444,0.5609929,0.35849312,0.565427,0.62349737,0.6718233,0.25160715,0.67647827,goddess
6,DATASET/TRAIN/goddess/00000204.jpg,0.5061965,0.30260992,0.5222195,0.29106513,0.48917508,0.29067206,0.54602927,0.3008718,0.4649864,0.3011808,0.575611,0.36734873,0.44053328,0.3642289,0.60974866,0.45671365,0.39456308,0.44901055,0.6471958,0.52032906,0.34717625,0.5184844,0.5489976,0.50665325,0.44352067,0.5042808,0.5922328,0.5544559,0.35786477,0.5529456,0.0,0.0,0.0,0.0,goddess
7,DATASET/TRAIN/goddess/00000198.jpg,0.514001,0.22287932,0.52360016,0.20543042,0.5015535,0.2082085,0.53952545,0.22335261,0.48155066,0.23146436,0.57775664,0.3009076,0.46045518,0.3168667,0.634346,0.2805475,0.40065646,0.3178223,0.67469186,0.19259758,0.33692327,0.23749682,0.5734715,0.5770473,0.47635782,0.5818068,0.64528084,0.71087795,0.3994955,0.71811366,0.68263716,0.91840434,0.33029988,0.93007255,goddess
8,DATASET/TRAIN/goddess/00000145.jpg,0.46769127,0.18074815,0.48012123,0.1607365,0.45367613,0.16115455,0.50057334,0.17916691,0.43236628,0.18135385,0.53882414,0.29689363,0.40214378,0.30025953,0.56911457,0.45163083,0.37322932,0.46435824,0.6103257,0.5614037,0.3310816,0.5689369,0.5180026,0.56247914,0.40338048,0.56427985,0.6074913,0.6383181,0.31839374,0.6498882,0.6620457,0.79672223,0.26585656,0.81847525,goddess
9,DATASET/TRAIN/goddess/00000219.jpg,0.4988189,0.21796289,0.5150658,0.19724225,0.48219085,0.19676451,0.5417859,0.21501428,0.45080438,0.2142659,0.59707415,0.32317233,0.3944281,0.32249498,0.63754374,0.48264956,0.3470002,0.49094933,0.5657215,0.47880083,0.44414505,0.47915155,0.5606438,0.59708166,0.3960281,0.5968672,0.6687055,0.706705,0.31698406,0.7043095,0.71511424,0.8879599,0.23371452,0.88390595,goddess
